"outclab_standardized","complab_standardized","review_id","comp.no","outcome.no","group.no","id","studlab","year","event.e","n.e","event.c","n.c","mean.e","sd.e","mean.c","sd.c","O.E","V","TE","seTE","lower.TE","upper.TE","weight","order","level","grplab","overall","test.subgroup","type","method","sm","model","common","random","outclab","k","event.e.pooled","n.e.pooled","event.c.pooled","n.c.pooled","TE.pooled","lower.pooled","upper.pooled","level.ma","weight.pooled","Z.pooled","pval.TE.pooled","Q","pval.Q","I2","tau2","Q.w","pval.Q.w","I2.w","swap.events","logscale","label.e","label.c","label.left","label.right","complab","fixed","filename","cochrane_id","out_comp","outcome_type","monotonicity"
"2-year remission at any time","2 remission",873,2,3,NA,"STD-FIRST-1993","FIRST 1993","1993",176,215,161,204,NA,NA,NA,NA,0,0.002339875,1.037238192,0.048372252,0.943417578,1.140389039,35.01213653,42,0.95,"",TRUE,NA,"D","MH","RR","Fixed",TRUE,FALSE,"2.3 2-year remission at any time",2,488,606,472,606,1.033469347,0.975494169,1.094890083,0.95,100,1.117651161,0.263716027,0,1,0,0,NA,NA,NA,FALSE,NA,"Immediate treatment","Controls","Favours controls","Favours immediate treatment","2 Remission",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD007144StatsDataOnly.rm5","CD007144","2-year remission at any time_2 remission","benefit","certain"
"2-year remission at any time","2 remission",873,2,3,NA,"STD-Marson-2005","Marson 2005","2005",312,391,311,402,NA,NA,NA,NA,0,0.001375455,1.031438886,0.037087132,0.959124262,1.109205781,64.98786347,43,0.95,"",TRUE,NA,"D","MH","RR","Fixed",TRUE,FALSE,"2.3 2-year remission at any time",2,488,606,472,606,1.033469347,0.975494169,1.094890083,0.95,100,1.117651161,0.263716027,0,1,0,0,NA,NA,NA,FALSE,NA,"Immediate treatment","Controls","Favours controls","Favours immediate treatment","2 Remission",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD007144StatsDataOnly.rm5","CD007144","2-year remission at any time_2 remission","benefit","certain"
"3-4 transfused units","1 studies on recurrence",562,1,18,NA,"STD-Beynon-1989","Beynon 1989","1989",43,96,35,134,NA,NA,NA,NA,0,0.080796177,2.294878706,0.284246684,1.31464508,4.006000065,9.636072301,3427,0.95,"",TRUE,NA,"D","MH","OR","Fixed",TRUE,FALSE,"1.18 3-4 Transfused Units",10,390,1021,329,1290,1.685112589,1.396454178,2.033439035,0.95,100,5.44328886,5.23057234204727e-08,0,0,80.4591193,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favours treatment","Favours control","1 Studies on Recurrence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD005033StatsDataOnly.rm5","CD005033","3-4 transfused units_1 studies on recurrence","harm","unlikely"
"3-4 transfused units","1 studies on recurrence",562,1,18,NA,"STD-Blumberg-1990","Blumberg 1990","1990",9,16,6,68,NA,NA,NA,NA,0,0.436763953,13.28571429,0.660881194,3.637825108,48.52080538,0.597384536,3428,0.95,"",TRUE,NA,"D","MH","OR","Fixed",TRUE,FALSE,"1.18 3-4 Transfused Units",10,390,1021,329,1290,1.685112589,1.396454178,2.033439035,0.95,100,5.44328886,5.23057234204727e-08,0,0,80.4591193,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favours treatment","Favours control","1 Studies on Recurrence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD005033StatsDataOnly.rm5","CD005033","3-4 transfused units_1 studies on recurrence","harm","unlikely"
"3-4 transfused units","1 studies on recurrence",562,1,18,NA,"STD-Jakobsen-1990","Jakobsen 1990","1990",73,172,15,47,NA,NA,NA,NA,0,0.121716307,1.573063973,0.348878642,0.793926588,3.116825033,8.101516313,3429,0.95,"",TRUE,NA,"D","MH","OR","Fixed",TRUE,FALSE,"1.18 3-4 Transfused Units",10,390,1021,329,1290,1.685112589,1.396454178,2.033439035,0.95,100,5.44328886,5.23057234204727e-08,0,0,80.4591193,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favours treatment","Favours control","1 Studies on Recurrence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD005033StatsDataOnly.rm5","CD005033","3-4 transfused units_1 studies on recurrence","harm","unlikely"
"3-4 transfused units","1 studies on recurrence",562,1,18,NA,"STD-Leite-1993","Leite 1993","1993",35,54,22,55,NA,NA,NA,NA,0,0.156960583,2.763157895,0.396182513,1.271084832,6.006712815,4.581774975,3430,0.95,"",TRUE,NA,"D","MH","OR","Fixed",TRUE,FALSE,"1.18 3-4 Transfused Units",10,390,1021,329,1290,1.685112589,1.396454178,2.033439035,0.95,100,5.44328886,5.23057234204727e-08,0,0,80.4591193,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favours treatment","Favours control","1 Studies on Recurrence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD005033StatsDataOnly.rm5","CD005033","3-4 transfused units_1 studies on recurrence","harm","unlikely"
"3-4 transfused units","1 studies on recurrence",562,1,18,NA,"STD-Mecklin-1989a","Mecklin 1989a","1989",47,124,35,165,NA,NA,NA,NA,0,0.070527345,2.26716141,0.26556985,1.347190386,3.815363375,11.14153166,3431,0.95,"",TRUE,NA,"D","MH","OR","Fixed",TRUE,FALSE,"1.18 3-4 Transfused Units",10,390,1021,329,1290,1.685112589,1.396454178,2.033439035,0.95,100,5.44328886,5.23057234204727e-08,0,0,80.4591193,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favours treatment","Favours control","1 Studies on Recurrence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD005033StatsDataOnly.rm5","CD005033","3-4 transfused units_1 studies on recurrence","harm","unlikely"
"3-4 transfused units","1 studies on recurrence",562,1,18,NA,"STD-Modin-1992","Modin 1992","1992",50,162,78,190,NA,NA,NA,NA,0,0.050677656,0.641025641,0.225116982,0.412340012,0.996541351,29.65199607,3432,0.95,"",TRUE,NA,"D","MH","OR","Fixed",TRUE,FALSE,"1.18 3-4 Transfused Units",10,390,1021,329,1290,1.685112589,1.396454178,2.033439035,0.95,100,5.44328886,5.23057234204727e-08,0,0,80.4591193,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favours treatment","Favours control","1 Studies on Recurrence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD005033StatsDataOnly.rm5","CD005033","3-4 transfused units_1 studies on recurrence","harm","unlikely"
"3-4 transfused units","1 studies on recurrence",562,1,18,NA,"STD-Pinto-1989","Pinto 1989","1989",29,65,17,63,NA,NA,NA,NA,0,0.142823196,2.179738562,0.377919563,1.039246791,4.571830523,5.712489628,3433,0.95,"",TRUE,NA,"D","MH","OR","Fixed",TRUE,FALSE,"1.18 3-4 Transfused Units",10,390,1021,329,1290,1.685112589,1.396454178,2.033439035,0.95,100,5.44328886,5.23057234204727e-08,0,0,80.4591193,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favours treatment","Favours control","1 Studies on Recurrence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD005033StatsDataOnly.rm5","CD005033","3-4 transfused units_1 studies on recurrence","harm","unlikely"
"3-4 transfused units","1 studies on recurrence",562,1,18,NA,"STD-Tang-1993","Tang 1993","1993",51,204,52,253,NA,NA,NA,NA,0,0.050349684,1.288461538,0.224387354,0.829989498,2.000185712,20.79996223,3434,0.95,"",TRUE,NA,"D","MH","OR","Fixed",TRUE,FALSE,"1.18 3-4 Transfused Units",10,390,1021,329,1290,1.685112589,1.396454178,2.033439035,0.95,100,5.44328886,5.23057234204727e-08,0,0,80.4591193,0,NA,NA,NA,FALSE,NA,"Treatment","Control","Favours treatment","Favours control","1 Studies on Recurrence",TRUE,"/Users/apple/Documents/Documents - Apple’s MacBook Air/UMC_Utrecht/wouters-notes-241025 /effectmeasure-stability/data/CD005033StatsDataOnly.rm5","CD005033","3-4 transfused units_1 studies on recurrence","harm","unlikely"
